candidate_id,gender,race_ethnicity,openness,conscientiousness,extraversion,agreeableness,neuroticism,education_level,years_experience,score,round,scenario
18,male,White,0.626,0.8,0.937,0.562,0.352,associate,12,0.68,1,culture_fit_feedback
29,male,Black,0.534,0.878,0.782,0.372,0.457,bachelor,2,0.635,1,culture_fit_feedback
48,female,Multiracial,0.626,0.583,0.849,0.469,0.199,high_school,11,0.613,1,culture_fit_feedback
40,female,Asian,0.76,0.677,0.566,0.762,0.566,bachelor,14,0.605,1,culture_fit_feedback
32,female,Latine,0.776,0.936,0.324,0.445,0.551,master,11,0.596,1,culture_fit_feedback
58,male,Asian,0.48,0.552,0.793,0.812,0.51,high_school,2,0.594,1,culture_fit_feedback
81,male,Latine,0.742,0.882,0.439,0.209,0.453,associate,13,0.581,1,culture_fit_feedback
71,female,Asian,0.544,0.805,0.487,0.454,0.387,associate,7,0.58,1,culture_fit_feedback
60,male,Latine,0.456,0.791,0.666,0.356,0.552,master,0,0.577,1,culture_fit_feedback
35,male,Asian,0.547,0.485,0.814,0.736,0.558,master,13,0.577,1,culture_fit_feedback
63,female,Asian,0.592,0.6,0.663,0.555,0.457,associate,7,0.571,1,culture_fit_feedback
4,male,Black,0.555,0.562,0.565,0.821,0.439,associate,7,0.57,1,culture_fit_feedback
21,male,Latine,0.391,0.819,0.377,0.626,0.365,high_school,0,0.568,1,culture_fit_feedback
44,male,White,0.546,0.511,0.562,0.742,0.191,associate,7,0.565,1,culture_fit_feedback
99,male,White,0.704,0.538,0.703,0.502,0.53,associate,11,0.564,1,culture_fit_feedback
2,female,White,0.617,0.51,0.669,0.57,0.371,bachelor,5,0.561,1,culture_fit_feedback
36,female,Latine,0.333,0.679,0.539,0.572,0.238,master,8,0.559,1,culture_fit_feedback
55,male,Black,0.621,0.758,0.293,0.559,0.344,high_school,4,0.557,1,culture_fit_feedback
16,male,White,0.527,0.533,0.704,0.625,0.554,bachelor,1,0.556,1,culture_fit_feedback
51,female,Multiracial,0.521,0.614,0.534,0.58,0.394,high_school,10,0.552,1,culture_fit_feedback
17,female,Latine,0.674,0.715,0.579,0.705,0.218,master,11,0.745,2,culture_fit_feedback
85,female,White,0.514,0.768,0.554,0.644,0.391,high_school,13,0.73,2,culture_fit_feedback
3,male,White,0.557,0.693,0.665,0.48,0.313,bachelor,6,0.726,2,culture_fit_feedback
19,female,Black,0.567,0.675,0.747,0.546,0.588,associate,2,0.722,2,culture_fit_feedback
72,female,Asian,0.553,0.787,0.57,0.444,0.424,master,13,0.72,2,culture_fit_feedback
40,female,White,0.686,0.67,0.592,0.59,0.578,high_school,15,0.712,2,culture_fit_feedback
41,female,White,0.381,0.696,0.626,0.723,0.459,bachelor,13,0.709,2,culture_fit_feedback
2,female,White,0.482,0.649,0.659,0.654,0.506,master,13,0.708,2,culture_fit_feedback
75,female,White,0.527,0.544,0.721,0.684,0.07,associate,8,0.706,2,culture_fit_feedback
37,female,Multiracial,0.534,0.698,0.921,0.412,0.715,associate,3,0.703,2,culture_fit_feedback
36,female,Black,0.568,0.717,0.488,0.47,0.333,high_school,5,0.695,2,culture_fit_feedback
70,male,Multiracial,0.599,0.907,0.468,0.38,0.564,high_school,1,0.694,2,culture_fit_feedback
94,female,Black,0.593,0.583,0.546,0.647,0.325,bachelor,7,0.694,2,culture_fit_feedback
67,female,White,0.561,0.585,0.775,0.47,0.556,high_school,13,0.689,2,culture_fit_feedback
