candidate_id,gender,race_ethnicity,openness,conscientiousness,extraversion,agreeableness,neuroticism,education_level,years_experience,score,round
40,female,Asian,0.76,0.677,0.566,0.762,0.566,bachelor,14,0.666,1
18,male,White,0.626,0.8,0.937,0.562,0.352,associate,12,0.655,1
58,male,Asian,0.48,0.552,0.793,0.812,0.51,high_school,2,0.629,1
35,male,Asian,0.547,0.485,0.814,0.736,0.558,master,13,0.628,1
32,female,Latine,0.776,0.936,0.324,0.445,0.551,master,11,0.606,1
29,male,Black,0.534,0.878,0.782,0.372,0.457,bachelor,2,0.605,1
99,male,White,0.704,0.538,0.703,0.502,0.53,associate,11,0.595,1
16,male,White,0.527,0.533,0.704,0.625,0.554,bachelor,1,0.589,1
45,male,Black,0.721,0.555,0.627,0.414,0.622,master,1,0.588,1
4,male,Black,0.555,0.562,0.565,0.821,0.439,associate,7,0.588,1
63,female,Asian,0.592,0.6,0.663,0.555,0.457,associate,7,0.573,1
82,female,Asian,0.587,0.579,0.276,0.605,0.808,master,3,0.571,1
20,female,White,0.427,0.492,0.765,0.52,0.647,associate,1,0.57,1
60,male,Latine,0.456,0.791,0.666,0.356,0.552,master,0,0.564,1
97,female,White,0.67,0.362,0.628,0.596,0.566,master,15,0.564,1
87,female,Asian,0.563,0.558,0.475,0.623,0.594,high_school,4,0.563,1
23,nonbinary,Asian,0.524,0.482,0.543,0.696,0.533,high_school,11,0.556,1
66,male,White,0.515,0.487,0.619,0.552,0.6,master,6,0.555,1
91,female,White,0.584,0.467,0.597,0.498,0.605,associate,3,0.55,1
2,female,White,0.617,0.51,0.669,0.57,0.371,bachelor,5,0.547,1
37,female,Multiracial,0.534,0.698,0.921,0.412,0.715,associate,3,0.656,2
8,male,Latine,0.486,0.52,0.555,0.977,0.628,master,11,0.633,2
19,female,Black,0.567,0.675,0.747,0.546,0.588,associate,2,0.625,2
40,female,White,0.686,0.67,0.592,0.59,0.578,high_school,15,0.623,2
55,female,White,0.699,0.493,0.694,0.562,0.617,associate,1,0.613,2
20,female,Latine,0.63,0.532,0.633,0.574,0.68,master,0,0.61,2
22,male,Latine,0.706,0.427,0.836,0.5,0.561,bachelor,0,0.606,2
51,female,Latine,0.555,0.592,0.479,0.73,0.651,bachelor,14,0.601,2
2,female,White,0.482,0.649,0.659,0.654,0.506,master,13,0.59,2
67,female,White,0.561,0.585,0.775,0.47,0.556,high_school,13,0.589,2
46,male,Black,0.442,0.653,0.655,0.528,0.644,master,1,0.584,2
70,male,Multiracial,0.599,0.907,0.468,0.38,0.564,high_school,1,0.584,2
71,female,White,0.846,0.549,0.39,0.637,0.484,associate,15,0.581,2
17,female,Latine,0.674,0.715,0.579,0.705,0.218,master,11,0.578,2
41,female,White,0.381,0.696,0.626,0.723,0.459,bachelor,13,0.577,2
31,male,Multiracial,0.505,0.499,0.657,0.678,0.53,bachelor,9,0.574,2
85,female,White,0.514,0.768,0.554,0.644,0.391,high_school,13,0.574,2
35,male,Latine,0.567,0.477,0.718,0.432,0.67,associate,4,0.573,2
34,male,Multiracial,0.469,0.516,0.867,0.293,0.721,high_school,11,0.573,2
60,male,Latine,0.494,0.761,0.428,0.65,0.515,master,5,0.57,2
95,female,Black,0.915,0.625,0.657,0.627,0.722,associate,12,0.709,3
22,male,Asian,0.415,0.665,0.594,0.756,0.84,high_school,4,0.654,3
69,female,Latine,0.563,0.66,0.515,0.851,0.443,bachelor,9,0.606,3
75,female,Asian,0.572,0.576,0.59,0.444,0.818,master,4,0.6,3
79,male,Asian,0.592,0.435,0.619,0.647,0.694,master,12,0.597,3
98,female,Latine,0.735,0.35,0.447,0.572,0.88,bachelor,14,0.597,3
88,female,White,0.685,0.502,0.666,0.542,0.569,associate,7,0.593,3
91,male,Latine,0.555,0.426,0.79,0.502,0.694,associate,8,0.593,3
24,female,Latine,0.921,0.432,0.511,0.306,0.756,associate,7,0.585,3
70,male,Asian,0.537,0.627,0.548,0.689,0.486,high_school,2,0.577,3
16,male,White,0.785,0.432,0.539,0.654,0.475,master,8,0.577,3
59,male,Latine,0.332,0.615,0.316,0.674,0.929,high_school,14,0.573,3
89,male,Asian,0.646,0.263,0.567,0.671,0.68,master,5,0.565,3
81,male,White,0.335,0.535,0.523,0.587,0.828,bachelor,13,0.562,3
49,female,Black,0.619,0.465,0.454,0.516,0.754,high_school,7,0.562,3
3,female,White,0.67,0.69,0.287,0.453,0.704,high_school,12,0.561,3
26,female,Asian,0.682,0.666,0.261,0.545,0.652,associate,7,0.561,3
31,female,White,0.601,0.629,0.734,0.369,0.466,bachelor,13,0.56,3
92,female,Asian,0.705,0.508,0.574,0.555,0.457,master,0,0.56,3
50,female,White,0.533,0.736,0.573,0.526,0.416,master,1,0.557,3
77,female,Latine,0.708,0.596,0.744,0.491,0.859,bachelor,4,0.68,4
96,female,Latine,0.581,0.796,0.472,0.955,0.466,high_school,11,0.654,4
16,female,White,0.683,0.638,0.728,0.554,0.636,master,0,0.648,4
23,male,Black,0.724,0.554,0.507,0.699,0.752,associate,13,0.647,4
78,female,Latine,0.85,0.623,0.45,0.687,0.603,bachelor,2,0.643,4
100,male,Latine,0.66,0.603,0.646,0.506,0.617,high_school,1,0.606,4
26,female,White,0.551,0.569,0.649,0.512,0.712,master,12,0.599,4
97,female,Latine,0.625,0.483,0.767,0.536,0.541,master,4,0.59,4
86,male,Latine,0.399,0.453,0.677,0.53,0.871,high_school,14,0.586,4
50,male,White,0.436,0.895,0.583,0.43,0.57,master,10,0.583,4
87,female,White,0.538,0.565,0.812,0.373,0.629,high_school,6,0.583,4
6,male,Latine,0.515,0.67,0.816,0.413,0.497,associate,0,0.582,4
90,male,Black,0.686,0.4,0.641,0.382,0.774,high_school,11,0.577,4
57,nonbinary,White,0.874,0.363,0.647,0.646,0.351,bachelor,9,0.576,4
49,female,Latine,0.227,0.763,0.624,0.615,0.645,master,13,0.575,4
19,female,Black,0.662,0.419,0.672,0.581,0.537,bachelor,7,0.574,4
58,female,Latine,0.535,0.679,0.511,0.475,0.664,associate,14,0.573,4
31,female,Asian,0.532,0.417,0.477,0.703,0.72,bachelor,13,0.57,4
14,male,White,0.707,0.5,0.622,0.395,0.615,high_school,6,0.568,4
45,male,White,0.44,0.358,0.465,0.869,0.709,bachelor,10,0.568,4
32,male,White,0.922,0.556,0.557,0.579,0.782,high_school,9,0.679,5
53,female,White,0.702,0.77,0.567,0.444,0.874,master,14,0.671,5
54,female,Latine,0.709,0.645,0.863,0.292,0.719,bachelor,7,0.646,5
39,male,White,0.425,0.633,0.646,0.697,0.631,bachelor,8,0.606,5
65,male,Asian,0.54,0.318,0.564,0.894,0.703,associate,15,0.604,5
37,female,Latine,0.574,0.81,0.704,0.216,0.713,bachelor,7,0.603,5
75,female,Latine,0.49,0.675,0.639,0.567,0.639,master,5,0.602,5
61,male,White,0.608,0.593,0.552,0.465,0.787,master,7,0.601,5
16,male,Black,0.434,0.523,0.583,0.809,0.641,associate,8,0.598,5
50,male,Latine,0.574,0.628,0.609,0.618,0.554,master,3,0.597,5
6,female,White,0.835,0.65,0.714,0.513,0.251,bachelor,9,0.593,5
34,male,White,0.797,0.507,0.51,0.444,0.666,bachelor,13,0.585,5
8,male,Black,0.427,0.582,0.665,0.611,0.636,high_school,14,0.584,5
96,female,Black,0.613,0.553,0.665,0.559,0.531,associate,5,0.584,5
70,male,White,0.708,0.534,0.595,0.542,0.537,master,2,0.583,5
19,female,Black,0.525,0.617,0.637,0.543,0.588,high_school,11,0.582,5
42,male,Asian,0.524,0.747,0.473,0.567,0.582,master,12,0.579,5
31,male,White,0.517,0.642,0.52,0.684,0.501,bachelor,12,0.573,5
85,male,White,0.778,0.513,0.15,0.486,0.911,bachelor,0,0.568,5
18,female,Latine,0.663,0.629,0.476,0.4,0.67,master,2,0.568,5
29,female,Asian,0.818,0.65,0.623,0.586,0.35,master,3,0.605,6
77,male,Asian,0.485,0.746,0.547,0.566,0.657,master,0,0.6,6
5,female,Latine,0.541,0.836,0.714,0.454,0.452,high_school,5,0.599,6
34,female,White,0.636,0.674,0.606,0.356,0.711,associate,13,0.597,6
6,male,White,0.554,0.538,0.603,0.758,0.526,associate,4,0.596,6
32,male,White,0.48,0.482,0.707,0.681,0.572,master,12,0.584,6
80,female,Latine,0.614,0.63,0.446,0.55,0.677,associate,2,0.583,6
15,female,White,0.666,0.629,0.512,0.444,0.654,high_school,8,0.581,6
62,male,White,0.561,0.588,0.87,0.407,0.46,bachelor,11,0.577,6
33,male,Latine,0.581,0.991,0.321,0.397,0.563,bachelor,13,0.571,6
12,female,Latine,0.63,0.607,0.588,0.485,0.537,associate,8,0.569,6
83,female,Latine,0.91,0.589,0.334,0.494,0.51,master,14,0.567,6
17,male,Black,0.583,0.623,0.565,0.467,0.585,associate,11,0.565,6
63,male,Black,0.492,0.663,0.407,0.648,0.581,bachelor,10,0.558,6
16,female,White,0.434,0.613,0.841,0.509,0.385,associate,7,0.556,6
90,male,White,0.541,0.698,0.557,0.62,0.359,master,0,0.555,6
51,female,White,0.645,0.567,0.473,0.479,0.61,master,15,0.555,6
50,female,Asian,0.446,0.433,0.793,0.553,0.551,bachelor,6,0.555,6
95,male,White,0.412,0.745,0.63,0.446,0.543,high_school,4,0.555,6
36,male,Asian,0.496,0.532,0.575,0.406,0.72,master,12,0.546,6
69,male,Multiracial,0.648,0.679,0.727,0.771,0.52,associate,13,0.669,7
24,female,Asian,0.783,0.708,0.553,0.496,0.627,associate,8,0.633,7
45,female,Latine,0.502,0.619,0.747,0.588,0.62,master,11,0.615,7
77,female,White,0.417,0.772,0.501,0.767,0.613,master,3,0.614,7
55,male,Latine,0.577,0.549,0.586,0.712,0.641,high_school,6,0.613,7
52,female,White,0.652,0.835,0.609,0.486,0.435,bachelor,5,0.603,7
40,female,White,0.787,0.458,0.686,0.506,0.562,high_school,14,0.6,7
22,male,Black,0.658,0.603,0.363,0.76,0.58,bachelor,15,0.593,7
72,female,Black,0.803,0.378,0.579,0.584,0.558,high_school,9,0.58,7
37,female,Latine,0.5,0.653,0.563,0.522,0.664,bachelor,11,0.58,7
1,male,Latine,0.545,0.741,0.681,0.555,0.352,master,5,0.575,7
73,male,Black,0.665,0.341,0.619,0.634,0.547,high_school,1,0.561,7
96,female,Latine,0.511,0.714,0.622,0.352,0.602,associate,2,0.56,7
92,male,White,0.621,0.619,0.786,0.394,0.352,master,3,0.554,7
28,male,White,0.584,0.669,0.393,0.588,0.529,master,10,0.553,7
59,female,White,0.559,0.652,0.558,0.507,0.459,master,11,0.547,7
61,female,Black,0.472,0.627,0.395,0.618,0.623,master,14,0.547,7
67,male,Latine,0.358,0.385,0.639,0.766,0.572,high_school,12,0.544,7
29,male,Asian,0.563,0.558,0.541,0.426,0.624,high_school,7,0.542,7
68,male,Black,0.515,0.719,0.389,0.494,0.593,high_school,5,0.542,7
28,female,Asian,0.681,0.588,0.492,0.667,0.881,bachelor,10,0.662,8
43,male,Black,0.635,0.465,0.624,0.756,0.8,bachelor,1,0.656,8
33,female,Black,0.784,0.57,0.586,0.633,0.616,bachelor,10,0.638,8
47,male,Asian,0.568,0.456,0.464,0.756,0.907,bachelor,10,0.63,8
96,female,White,0.585,0.683,0.512,0.583,0.764,master,15,0.625,8
39,male,White,0.671,0.697,0.68,0.681,0.344,high_school,6,0.615,8
37,female,Black,0.498,0.572,0.716,0.61,0.644,high_school,10,0.608,8
61,female,Latine,0.552,0.743,0.716,0.558,0.455,high_school,15,0.605,8
18,female,Black,0.772,0.447,0.46,0.716,0.599,associate,10,0.599,8
65,female,Black,0.523,0.575,0.746,0.553,0.597,high_school,13,0.599,8
44,nonbinary,Asian,0.586,0.751,0.565,0.568,0.508,associate,14,0.596,8
72,male,Black,0.428,0.434,0.8,0.65,0.642,high_school,12,0.591,8
68,female,Latine,0.617,0.607,0.772,0.397,0.533,high_school,1,0.585,8
46,female,White,0.744,0.531,0.586,0.477,0.579,high_school,13,0.583,8
69,female,Black,0.57,0.653,0.649,0.374,0.65,high_school,12,0.579,8
92,male,Latine,0.646,0.177,0.585,0.886,0.593,master,13,0.577,8
86,male,Latine,0.502,0.63,0.485,0.771,0.477,associate,2,0.573,8
73,female,Black,0.617,0.574,0.693,0.468,0.479,associate,11,0.566,8
98,male,Black,0.482,0.435,0.652,0.536,0.716,associate,15,0.564,8
48,female,Latine,0.485,0.634,0.589,0.526,0.579,high_school,4,0.563,8
76,female,Black,0.793,0.614,0.707,0.615,0.756,associate,15,0.697,9
