candidate_id,gender,race_ethnicity,openness,conscientiousness,extraversion,agreeableness,neuroticism,education_level,years_experience,round,scenario
1,male,Latine,0.641,0.207,0.305,0.519,0.453,associate,13,1,personality_weighted
2,female,White,0.617,0.51,0.669,0.57,0.371,bachelor,5,1,personality_weighted
3,male,Black,0.493,0.472,0.398,0.683,0.477,master,13,1,personality_weighted
4,male,Black,0.555,0.562,0.565,0.821,0.439,associate,7,1,personality_weighted
5,female,Latine,0.669,0.483,0.374,0.376,0.598,high_school,7,1,personality_weighted
6,female,Asian,0.581,0.4,0.535,0.518,0.533,bachelor,11,1,personality_weighted
7,male,Black,0.51,0.543,0.595,0.281,0.452,master,3,1,personality_weighted
8,female,White,0.724,0.37,0.645,0.248,0.45,high_school,2,1,personality_weighted
9,male,White,0.619,0.448,0.431,0.629,0.471,high_school,8,1,personality_weighted
10,male,Latine,0.575,0.521,0.604,0.436,0.524,master,0,1,personality_weighted
11,male,Latine,0.401,0.446,0.443,0.321,0.573,associate,13,1,personality_weighted
12,female,White,0.567,0.6,0.485,0.437,0.488,master,2,1,personality_weighted
13,female,Black,0.35,0.56,0.364,0.443,0.695,associate,1,1,personality_weighted
14,male,White,0.469,0.357,0.449,0.626,0.241,master,7,1,personality_weighted
15,female,White,0.283,0.511,0.421,0.535,0.503,bachelor,2,1,personality_weighted
16,male,White,0.527,0.533,0.704,0.625,0.554,bachelor,1,1,personality_weighted
17,female,White,0.361,0.442,0.293,0.595,0.467,master,2,1,personality_weighted
18,male,White,0.626,0.8,0.937,0.562,0.352,associate,12,1,personality_weighted
19,female,Latine,0.438,0.408,0.479,0.66,0.524,master,5,1,personality_weighted
20,female,White,0.427,0.492,0.765,0.52,0.647,associate,1,1,personality_weighted
21,male,Latine,0.391,0.819,0.377,0.626,0.365,high_school,0,1,personality_weighted
22,male,Latine,0.494,0.402,0.567,0.432,0.316,bachelor,8,1,personality_weighted
23,nonbinary,Asian,0.524,0.482,0.543,0.696,0.533,high_school,11,1,personality_weighted
24,male,Latine,0.73,0.527,0.316,0.295,0.748,master,1,1,personality_weighted
25,male,Black,0.719,0.334,0.366,0.596,0.441,bachelor,2,1,personality_weighted
26,male,Black,0.711,0.514,0.597,0.192,0.493,master,0,1,personality_weighted
27,male,White,0.45,0.637,0.301,0.505,0.427,associate,3,1,personality_weighted
28,female,White,0.701,0.477,0.396,0.466,0.536,bachelor,10,1,personality_weighted
29,male,Black,0.534,0.878,0.782,0.372,0.457,bachelor,2,1,personality_weighted
30,female,White,0.681,0.391,0.402,0.178,0.476,master,0,1,personality_weighted
31,male,Asian,0.421,0.368,0.486,0.236,0.28,master,9,1,personality_weighted
32,female,Latine,0.776,0.936,0.324,0.445,0.551,master,11,1,personality_weighted
33,male,Latine,0.617,0.565,0.444,0.48,0.294,master,2,1,personality_weighted
34,female,Black,0.417,0.571,0.652,0.523,0.553,high_school,2,1,personality_weighted
35,male,Asian,0.547,0.485,0.814,0.736,0.558,master,13,1,personality_weighted
36,female,Latine,0.333,0.679,0.539,0.572,0.238,master,8,1,personality_weighted
37,male,Asian,0.429,0.54,0.508,0.456,0.484,high_school,15,1,personality_weighted
38,male,White,0.115,0.464,0.526,0.544,0.444,master,13,1,personality_weighted
39,female,Latine,0.27,0.63,0.451,0.491,0.342,bachelor,3,1,personality_weighted
40,female,Asian,0.76,0.677,0.566,0.762,0.566,bachelor,14,1,personality_weighted
41,male,White,0.395,0.648,0.323,0.617,0.471,master,10,1,personality_weighted
42,male,Black,0.61,0.264,0.49,0.324,0.422,bachelor,11,1,personality_weighted
43,male,White,0.348,0.505,0.318,0.399,0.547,master,12,1,personality_weighted
